Unnamed: 0,words,left,top,width,height,page,center_x,center_y,prop_height,prop_width,is_error,word_key
159,silent.,839,991,143,25,0,910.5,1003.5,0.0173370319001386,0.0752631578947368,0,302204bc-ad6f-4ca1-bab9-459d431a1c9a
160,The,1014,992,62,24,0,1045.0,1004.0,0.0166435506241331,0.0326315789473684,0,e08edb86-3bee-423c-bfdc-d6d23365f23f
161,offer,1102,993,105,23,0,1154.5,1004.5,0.0159500693481276,0.0552631578947368,0,082dc84a-8315-4248-a3e4-575faa8d6126
162,is:,1236,991,54,25,0,1263.0,1003.5,0.0173370319001386,0.0284210526315789,0,909775cc-f73a-480e-aa65-55da4e504b43
163,If,1323,993,38,23,0,1342.0,1004.5,0.0159500693481276,0.02,0,d67b4fd6-c613-422e-9521-3d93d110e08b
164,A,1386,995,22,21,0,1397.0,1005.5,0.0145631067961165,0.011578947368421,0,e3f8e69d-2672-4096-a7a0-a590fc91e0e6
165,and,1432,992,64,24,0,1464.0,1004.0,0.0166435506241331,0.0336842105263157,0,911b9730-a1e0-4ead-ab90-ba98ff01b221
166,B,1519,995,20,21,0,1529.0,1005.5,0.0145631067961165,0.0105263157894736,0,37bdb7b3-3ad5-490a-8c25-2d7eb3ecf95d
167,each,1564,992,86,24,0,1607.0,1004.0,0.0166435506241331,0.0452631578947368,0,6f4bdee3-5134-471a-9500-508fd6ec209b
168,betray,1672,992,131,29,0,1737.5,1006.5,0.0201109570041608,0.0689473684210526,0,99ae772d-64d9-40ed-ba13-bb40f7dc42f7
169,the,1829,992,61,24,0,1859.5,1004.0,0.0166435506241331,0.0321052631578947,0,7b2cadc9-cb4e-4d28-b55e-863df2986f30
170,"other,",2,1082,122,28,0,63.0,1096.0,0.0194174757281553,0.0642105263157894,0,0c418ab1-34ce-4f19-8be8-8114938e20db
171,each,156,1082,86,24,0,199.0,1094.0,0.0166435506241331,0.0452631578947368,0,869958e2-4610-4a18-9293-44066ad40c20
172,of,266,1083,39,23,0,285.5,1094.5,0.0159500693481276,0.0205263157894736,0,b32f6c84-f591-4e46-b21a-c973b497d5d0
173,them,333,1082,85,24,0,375.5,1094.0,0.0166435506241331,0.0447368421052631,0,51e83406-b939-47ea-a8de-8563747f9ceb
174,serves,443,1088,127,18,0,506.5,1097.0,0.0124826629680998,0.0668421052631579,0,4cc5fde8-4051-4af1-9887-39b44e3a8755
175,2,596,1085,16,21,0,604.0,1095.5,0.0145631067961165,0.0084210526315789,0,54b283e2-fe85-4bae-af28-95d243a23587
176,years,638,1088,108,23,0,692.0,1099.5,0.0159500693481276,0.0568421052631578,0,c0d2ad3c-99b1-4c04-8876-f220c5961444
177,in,774,1081,40,25,0,794.0,1093.5,0.0173370319001386,0.0210526315789473,0,f152d40f-58ad-4f6e-b92a-4117cf27da57
178,prison.,836,1081,146,31,0,909.0,1096.5,0.0214979195561719,0.0768421052631578,0,a9c5224a-c00e-48bc-9640-97aa7b657caf
179,If,1015,1083,38,23,0,1034.0,1094.5,0.0159500693481276,0.02,0,2c818786-796a-4112-a19d-c7aef5368206
180,A,1078,1085,22,21,0,1089.0,1095.5,0.0145631067961165,0.011578947368421,0,2c3c5c42-bea0-410a-a801-5689026887f8
181,betrays,1122,1082,152,29,0,1198.0,1096.5,0.0201109570041608,0.08,0,a3d751b8-c6ff-4a5a-afa3-748770f8c200
182,B,1299,1085,20,21,0,1309.0,1095.5,0.0145631067961165,0.0105263157894736,0,86dc9d81-7761-45b8-85fb-dec3e31f2f68
183,but,1342,1082,64,24,0,1374.0,1094.0,0.0166435506241331,0.0336842105263157,0,ead76151-4c1a-4c4b-b603-cc1e1ddd6ebf
184,B,1431,1085,20,21,0,1441.0,1095.5,0.0145631067961165,0.0105263157894736,0,475d46aa-bc41-418b-a396-eb89ece5f89e
185,remains,1476,1081,150,25,0,1551.0,1093.5,0.0173370319001386,0.0789473684210526,0,d4d4fe99-af02-495f-9a68-4d55d9c50c10
186,"silent,",1653,1081,143,29,0,1724.5,1095.5,0.0201109570041608,0.0752631578947368,0,db969c27-bcbb-41ad-b2a2-6bf4308d7264
187,A,1826,1085,22,21,0,1837.0,1095.5,0.0145631067961165,0.011578947368421,0,d14a7369-3458-46fe-8cc3-0e93b40a552e
188,will,0,1171,85,25,0,42.5,1183.5,0.0173370319001386,0.0447368421052631,0,f8af9108-6718-4283-b8db-3368d6d994ba
189,be,110,1172,42,24,0,131.0,1184.0,0.0166435506241331,0.0221052631578947,0,bf7632e6-3d9f-4c33-b292-e6e4fa14b115
190,set,179,1175,61,21,0,209.5,1185.5,0.0145631067961165,0.0321052631578947,0,ff857a54-4bac-49b5-8b2a-dcf59edefb07
191,free,267,1173,83,23,0,308.5,1184.5,0.0159500693481276,0.0436842105263157,0,60748ffb-6c07-42c5-ab24-66da02dbbe8c
192,and,376,1172,64,24,0,408.0,1184.0,0.0166435506241331,0.0336842105263157,0,fa5c96bf-fd09-46cd-8897-fc1e1bb5b227
193,B,463,1175,20,21,0,473.0,1185.5,0.0145631067961165,0.0105263157894736,0,8096c7c8-9c2e-4a23-86d2-d9f4548cbfea
