Unnamed: 0,words,left,top,width,height,page,center_x,center_y,prop_height,prop_width,is_error,word_key
176,16.2,817,1175,81,21,0,857.5,1185.5,0.0145631067961165,0.0426315789473684,0,4e087334-314e-48e6-aee1-1b2f986a6fbc
177,by,924,1172,43,29,0,945.5,1186.5,0.0201109570041608,0.0226315789473684,0,8d8cbd22-b178-4e78-bcfc-7e6fe26572d1
178,5,993,1175,16,21,0,1001.0,1185.5,0.0145631067961165,0.0084210526315789,0,20737090-b873-4c50-aa73-6119b58b9504
179,centimeters,1036,1171,238,25,0,1155.0,1183.5,0.0173370319001386,0.1252631578947368,0,42261e9f-7156-48a6-a136-e66db419490f
180,(9.3,1308,1172,75,27,0,1345.5,1185.5,0.0187239944521497,0.0394736842105263,0,48b47a42-a671-49fb-bedb-47a9620a9462
181,by,1408,1172,43,29,0,1429.5,1186.5,0.0201109570041608,0.0226315789473684,0,866cf543-409c-498d-bb1d-2550d6347fc0
182,6.4,1477,1175,60,21,0,1507.0,1185.5,0.0145631067961165,0.031578947368421,0,45b92bf1-986d-4b7f-b561-7f20b30bf88d
183,by,1562,1172,43,29,0,1583.5,1186.5,0.0201109570041608,0.0226315789473684,0,c89641d1-19a5-40cc-905e-818c2f1cc5ca
184,2.0,1630,1175,61,21,0,1660.5,1185.5,0.0145631067961165,0.0321052631578947,0,77706a1a-7e48-45c6-8599-34c3cffa59a0
185,"in),",1720,1171,76,29,0,1758.0,1185.5,0.0201109570041608,0.04,0,e0d19b44-37e0-4bce-bd5d-127d0f704acb
186,with,0,1261,88,25,0,44.0,1273.5,0.0173370319001386,0.0463157894736842,0,1fea491d-d652-4ec2-aa11-0a651f65dfba
187,hundreds,111,1262,173,24,0,197.5,1274.0,0.0166435506241331,0.0910526315789473,0,5bf0fe4b-2bd2-4bd6-8780-4b9858d94721
188,of,310,1263,39,23,0,329.5,1274.5,0.0159500693481276,0.0205263157894736,0,1ababc51-eb63-4687-83c8-40e5e46d667c
189,sheepskin,377,1261,195,31,0,474.5,1276.5,0.0214979195561719,0.1026315789473684,0,a66ebe8c-64b6-4341-9278-d437f4d5bec2
190,pages,594,1268,108,24,0,648.0,1280.0,0.0166435506241331,0.0568421052631578,0,6055fdb8-81f7-4d13-99a4-413434e92e97
191,collected,728,1262,196,24,0,826.0,1274.0,0.0166435506241331,0.1031578947368421,0,f2c47f2b-8d45-4948-adab-f5e1b4eaecc9
192,into,950,1261,82,25,0,991.0,1273.5,0.0173370319001386,0.0431578947368421,0,f10a377e-d856-4fa4-9e6f-edee75a426b7
